GII,WVS,WIPO
"Bolivia, Plurinational State of",Bolivia,Bolivia (Plurinational State of)
Côte d'Ivoire,Côte d'Ivoire,C\xaate d'Ivoire
Czech Republic,Czech Rep.,Czech Republic
Dominican Republic,Dominican Rep.,Dominican Republic
Hong Kong (China),Hong Kong,"China, Hong Kong SAR"
"Iran, Islamic Republic of",Iran,Iran (Islamic Republic of)
"Korea, Republic of",South Korea,Republic of Korea
,North Korea,Democratic People's Republic of Korea
"Moldova, Republic of",Moldova,Republic of Moldova
Russian Federation,Russia,Russian Federation
American Samoa,American Samoa,Samoa
Syria,Syria,Syrian Arab Republic
"Tanzania, United Republic of",Tanzania,NA
The Former Yugoslav Republic (FYR) of Macedonia,Macedonia,T F Y R of Macedonia
United Kingdom,Great Britain,United Kingdom
United States of America,United States,United States of America
"Venezuela, Bolivarian Republic of",Venezuela,NA
